"Learn More","Learn More"
"View Demo","View Demo"
"Credit card type is not allowed for this payment method.","Credit card type is not allowed for this payment method."
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"The IP(s) you entered are invalid.","The IP(s) you entered are invalid."
"CC type not supported by PayU.","CC type not supported by PayU."
"PayU - Credit cards (Lite version)","PayU - Credit cards (Lite version)"
"PayU - PayPal (Lite version)","PayU - PayPal (Lite version)"
"Add PayU as an additional payment method to your checkout page.","Add PayU as an additional payment method to your checkout page."
"Merchant code","Merchant code"
"Transaction key","Transaction key"
"LiveUpdate URL","LiveUpdate URL"
"IDN URL","IDN URL"
"IRN URL","IRN URL"
"IOS URL","IOS URL"
"Test mode","Test mode"
"Automode","Automode"
"Whether you want to redirect your customers straight to the card details page (skipping the billing/delivery screens)","Whether you want to redirect your customers straight to the card details page (skipping the billing/delivery screens)"
"Language","Language"
"Will preselect the language on PayU page, if not set the default is current store 's language","Will preselect the language on PayU page, if not set the default is current store 's language"
"Restrict IPN access","Restrict IPN access"
"Whether you want to restrict access to IPN url","Whether you want to restrict access to IPN url"
"Allowed IPs for IPN access","Allowed IPs for IPN access"
"IPs list for which IPN url is allowed (PayU Servers), separated by comma. Please consult PayU for these IPs.","IPs list for which IPN url is allowed (PayU Servers), separated by comma. Please consult PayU for these IPs."
"Payment timeout","Payment timeout"
"Sets the interval in witch the payment can be done. [optional, takes a number of seconds as value]","Sets the interval in witch the payment can be done. [optional, takes a number of seconds as value]"
"Enabled","Enabled"
"Title","Title"
"Credit Card Types","Credit Card Types"
"New order status","New order status"
"Payment Action","Payment Action"
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"Debug","Debug"
"Sort order","Sort order"
"No order for processing found.","No order for processing found."
"The customer was redirected to PayU.","The customer was redirected to PayU."
"Invalid order.","Invalid order."
"Payment timeout.","Payment timeout."
"Payment failed. The order has been canceled.","Payment failed. The order has been canceled."
"An error occurred. Please try again later.","An error occurred. Please try again later."
"Payment failed.","Payment failed."
"An error occurred.","An error occurred."
"Notified customer about creditmemo #%s.","Notified customer about creditmemo #%s."
"Notified customer about invoice #%s.","Notified customer about invoice #%s."
"Invalid signature.","Invalid signature."
"Access denied for IP %s.","Access denied for IP %s."
"Invalid payment method.","Invalid payment method."
"Order "%s" not found.","Order "%s" not found."
"Missing or invalid order ID.","Missing or invalid order ID."
"Request does not contain any params.","Request does not contain any params."
"Invalid amount to capture.","Invalid amount to capture."
"Could not capture payment. Hash check failed.","Could not capture payment. Hash check failed."
"Could not capture payment. %s","Could not capture payment. %s"
"Could not capture payment.","Could not capture payment."
"PayU Gateway","PayU Gateway"
"Please, wait a moment. This page will transfer your data to PayU in a few seconds...","Please, wait a moment. This page will transfer your data to PayU in a few seconds..."
"Credit Card Type","Credit Card Type"
"--Please Select--","--Please Select--"
"Innobyte - PayU (Lite version)","Innobyte - PayU (Lite version)"
"General Settings","General Settings"
"PayU (Lite version)","PayU (Lite version)"
"void","void"
"refund","refund"
"cancel","cancel"
"Invalid amount to %s.","Invalid amount to %s."
"Could not %s the payment. Hash check failed.","Could not %s the payment. Hash check failed."
"Could not %s the payment. %s","Could not %s the payment. %s"
"Could not %s the payment.","Could not %s the payment."
