"Points","Puncte de fidelitate"
"Reward points","Puncte de fidelitate"
"This shopping cart is worth %s loyalty point(s).","Acest coş de cumpărături vă aduce %s puncte de fidelitate."
"You have %d loyalty point(s) available.","Aveți %d punct(e) de loialitate disponibil(e)."
"To get a discount you need at least %d points","To get a discount you need at least %d points"
"Points are gathered only for registered clients.","Pentru ca punctele să fie acumulate trebuie să finalizați comanda ca utilizator înregistrat."
"Enter quantity of credit you want to use.","Enter quantity of credit you want to use."
"%d points","%d puncte"
"Apply Points","Foloseşte Punctele"
"Apply points","Foloseşte punctele"
"Remove Points","Şterge punctele"
"You are currently using %d point(s) of your %d loyalty point(s) available.","Momentan foloseşti %d puncte din %d disponibile."
"Not enough points available.","Not enough points available."
"The minimum required points is not reached","The minimum required points is not reached"
"Amount of points wrongly used","Amount of points wrongly used"
"Your Points","Puncte disponibile"
"Total Accumulated Points","Puncte acumulate"
"Total Points Spent","Puncte folosite"
"Points waiting for validation","Puncte în aşteptare"
"Points cannot be redeemed within multiple shipping orders.","Punctele nu pot fi folosite atunci cand comanda se face la adrese multiple."
"Your cart amount has not reached the minimum required points","Your cart amount has not reached the minimum required points"
"%s points used","%s puncte utilizate"
"Type of points","Tip puncte"
"Type of point","Tip puncte"
"Points added","Puncte adăugate"
"Points used","Puncte deja folosite"
"Obtention date", "Data obţinerii punctelor"
"Valid until","Valabile până la"
"Store input %s","Descriere %s"
"History","Istoric"
"You don't have any recorded points.", "Nu ai puncte înregistrate."
"Email %s was successfully invited.","Prietenul cu adresa de e-mail %s a fost învitat cu succes."
"Email %s has been already submitted.","Email-ul %s a fost deja înregistrat."
"Full Name","Nume"
"Email","E-mail"
"yes","Da"
"no","Nu"
"Registered?","Înregistrat?"
"First order?","Prima comandă?"
"Referred Friends","Prieteni recomandați"
"Referral","Recomandare"
"Refer a friend","Invită un prieten"
"Friend's name","Numele prietenului"
"Friend's email address","Adresa de e-mail a prietenului"
"Invited friends","Prieteni invitati"
"You haven't invited any friend.","Nu ai invitat nici un prieten."
"With this product, you earn <span id='j2t-pts'>%d</span> loyalty point(s).","Bonus: <span id='j2t-pts'>%d</span> puncte de fidelitate."
"With this product, you earn <span id='j2t-pts'>%s</span> loyalty point(s).","Bonus: <span id='j2t-pts'>%s</span> puncte de fidelitate."



